tempo_sk,data_completa,ano,mes,dia,dia_semana,trimestre,trimestre_fiscal,eh_fim_mes,eh_fim_trimestre,eh_fim_ano,eh_feriado_bancario
233,2014-04-21,2014,4,21,Monday,2,2,False,False,False,False
234,2014-04-22,2014,4,22,Tuesday,2,2,False,False,False,False
235,2014-04-23,2014,4,23,Wednesday,2,2,False,False,False,False
236,2014-04-24,2014,4,24,Thursday,2,2,False,False,False,False
237,2014-04-25,2014,4,25,Friday,2,2,False,False,False,False
238,2014-04-26,2014,4,26,Saturday,2,2,False,False,False,False
239,2014-04-27,2014,4,27,Sunday,2,2,False,False,False,False
240,2014-04-28,2014,4,28,Monday,2,2,False,False,False,False
241,2014-04-29,2014,4,29,Tuesday,2,2,False,False,False,False
242,2014-04-30,2014,4,30,Wednesday,2,2,True,False,False,False
243,2014-05-01,2014,5,1,Thursday,2,2,False,False,False,False
244,2014-05-02,2014,5,2,Friday,2,2,False,False,False,False
245,2014-05-03,2014,5,3,Saturday,2,2,False,False,False,False
246,2014-05-04,2014,5,4,Sunday,2,2,False,False,False,False
247,2014-05-05,2014,5,5,Monday,2,2,False,False,False,False
248,2014-05-06,2014,5,6,Tuesday,2,2,False,False,False,False
249,2014-05-07,2014,5,7,Wednesday,2,2,False,False,False,False
250,2014-05-08,2014,5,8,Thursday,2,2,False,False,False,False
251,2014-05-09,2014,5,9,Friday,2,2,False,False,False,False
252,2014-05-10,2014,5,10,Saturday,2,2,False,False,False,False
253,2014-05-11,2014,5,11,Sunday,2,2,False,False,False,False
254,2014-05-12,2014,5,12,Monday,2,2,False,False,False,False
255,2014-05-13,2014,5,13,Tuesday,2,2,False,False,False,False
256,2014-05-14,2014,5,14,Wednesday,2,2,False,False,False,False
257,2014-05-15,2014,5,15,Thursday,2,2,False,False,False,False
258,2014-05-16,2014,5,16,Friday,2,2,False,False,False,False
259,2014-05-17,2014,5,17,Saturday,2,2,False,False,False,False
260,2014-05-18,2014,5,18,Sunday,2,2,False,False,False,False
261,2014-05-19,2014,5,19,Monday,2,2,False,False,False,False
262,2014-05-20,2014,5,20,Tuesday,2,2,False,False,False,False
263,2014-05-21,2014,5,21,Wednesday,2,2,False,False,False,False
264,2014-05-22,2014,5,22,Thursday,2,2,False,False,False,False
265,2014-05-23,2014,5,23,Friday,2,2,False,False,False,False
266,2014-05-24,2014,5,24,Saturday,2,2,False,False,False,False
267,2014-05-25,2014,5,25,Sunday,2,2,False,False,False,False
268,2014-05-26,2014,5,26,Monday,2,2,False,False,False,True
269,2014-05-27,2014,5,27,Tuesday,2,2,False,False,False,False
270,2014-05-28,2014,5,28,Wednesday,2,2,False,False,False,False
271,2014-05-29,2014,5,29,Thursday,2,2,False,False,False,False
272,2014-05-30,2014,5,30,Friday,2,2,False,False,False,False
273,2014-05-31,2014,5,31,Saturday,2,2,True,False,False,False
274,2014-06-01,2014,6,1,Sunday,2,2,False,False,False,False
275,2014-06-02,2014,6,2,Monday,2,2,False,False,False,False
276,2014-06-03,2014,6,3,Tuesday,2,2,False,False,False,False
277,2014-06-04,2014,6,4,Wednesday,2,2,False,False,False,False
278,2014-06-05,2014,6,5,Thursday,2,2,False,False,False,False
279,2014-06-06,2014,6,6,Friday,2,2,False,False,False,False
280,2014-06-07,2014,6,7,Saturday,2,2,False,False,False,False
281,2014-06-08,2014,6,8,Sunday,2,2,False,False,False,False
282,2014-06-09,2014,6,9,Monday,2,2,False,False,False,False
283,2014-06-10,2014,6,10,Tuesday,2,2,False,False,False,False
284,2014-06-11,2014,6,11,Wednesday,2,2,False,False,False,False
285,2014-06-12,2014,6,12,Thursday,2,2,False,False,False,False
286,2014-06-13,2014,6,13,Friday,2,2,False,False,False,False
287,2014-06-14,2014,6,14,Saturday,2,2,False,False,False,False
288,2014-06-15,2014,6,15,Sunday,2,2,False,False,False,False
289,2014-06-16,2014,6,16,Monday,2,2,False,False,False,False
290,2014-06-17,2014,6,17,Tuesday,2,2,False,False,False,False
291,2014-06-18,2014,6,18,Wednesday,2,2,False,False,False,False
292,2014-06-19,2014,6,19,Thursday,2,2,False,False,False,False
293,2014-06-20,2014,6,20,Friday,2,2,False,False,False,False
294,2014-06-21,2014,6,21,Saturday,2,2,False,False,False,False
295,2014-06-22,2014,6,22,Sunday,2,2,False,False,False,False
296,2014-06-23,2014,6,23,Monday,2,2,False,False,False,False
297,2014-06-24,2014,6,24,Tuesday,2,2,False,False,False,False
298,2014-06-25,2014,6,25,Wednesday,2,2,False,False,False,False
299,2014-06-26,2014,6,26,Thursday,2,2,False,False,False,False
300,2014-06-27,2014,6,27,Friday,2,2,False,False,False,False
301,2014-06-28,2014,6,28,Saturday,2,2,False,False,False,False
302,2014-06-29,2014,6,29,Sunday,2,2,False,False,False,False
303,2014-06-30,2014,6,30,Monday,2,2,True,True,False,False
304,2014-07-01,2014,7,1,Tuesday,3,3,False,False,False,False
305,2014-07-02,2014,7,2,Wednesday,3,3,False,False,False,False
306,2014-07-03,2014,7,3,Thursday,3,3,False,False,False,False
307,2014-07-04,2014,7,4,Friday,3,3,False,False,False,True
308,2014-07-05,2014,7,5,Saturday,3,3,False,False,False,False
309,2014-07-06,2014,7,6,Sunday,3,3,False,False,False,False
310,2014-07-07,2014,7,7,Monday,3,3,False,False,False,False
